Time,position,smoothposition,speed,smoothspeed
0,1.5,0.15,0.15,0.015
1,1.5,0.285,0.135,0.027
2,1.5,0.4065,0.1215,0.03645
3,1.5,0.51585,0.10935,0.04374
4,1.5,0.614265,0.098415,0.0492075
5,1.5,0.7028385,0.0885735,0.0531441
6,1.5,0.78255465,0.07971615,0.055801305
7,1.5,0.854299185,0.071744535,0.057395628
8,1.5,0.9188692665,0.0645700815,0.05811307335
9,1.5,0.97698233985,0.05811307335,0.05811307335
10,1.5,1.029284105865,0.0523017660149999,0.0575319426165
11,1.5,1.0763556952785,0.0470715894135001,0.0564859072962
12,1.5,1.11872012575065,0.04236443047215,0.055073759613795
13,1.5,1.15684811317559,0.038127987424935,0.053379182394909
14,1.5,1.19116330185803,0.0343151886824415,0.0514727830236623
15,1.5,1.22204697167222,0.0308836698141974,0.0494138717027158
16,1.5,1.249842274505,0.0277953028327775,0.047252014815722
17,1.5,1.2748580470545,0.0250157725494999,0.0450283905890998
18,1.5,1.29737224234905,0.0225141952945498,0.0427769710596448
19,1.5,1.31763501811415,0.0202627757650948,0.0405255515301898
20,1.5,1.33587151630273,0.0182364981885854,0.0382966461960293
21,1.5,1.35228436467246,0.0164128483697268,0.0361082664133991
22,1.5,1.36705592820521,0.0147715635327541,0.0339745961253346
23,1.5,1.38035033538469,0.0132944071794787,0.031906577230749
24,1.5,1.39231530184622,0.0119649664615309,0.0299124161538272
25,1.5,1.4030837716616,0.0107684698153778,0.0279980215199822
26,1.5,1.41277539449544,0.00969162283383995,0.026167381651368
27,1.5,1.4214978550459,0.00872246055045611,0.0244228895412768
28,1.5,1.42934806954131,0.00785021449541046,0.0227656220366902
29,1.5,1.43641326258718,0.00706519304586939,0.0211955791376081
30,1.5,1.44277193632846,0.00635867374128241,0.0197118885979755
31,1.5,1.44849474269561,0.00572280636715417,0.0183129803748934
32,1.5,1.45364526842605,0.00515052573043873,0.0169967349104479
33,1.5,1.45828074158345,0.00463547315739499,0.0157606087351426
34,1.5,1.4624526674251,0.00417192584165549,0.0146017404457939
35,1.5,1.46620740068259,0.00375473325748987,0.0135170397269635
36,1.5,1.46958666061433,0.00337925993174082,0.0125032617474412
37,1.5,1.4726279945529,0.00304133393856687,0.0115570689665538
38,1.5,1.47536519509761,0.00273720054471016,0.0106750821243694
39,1.5,1.47782867558785,0.00246348049023903,0.0098539219609564
40,1.5,1.48004580802906,0.00221713244121524,0.00909024300898229
41,1.5,1.48204122722616,0.00199541919709367,0.00838076062779343
42,1.5,1.48383710450354,0.00179587727738428,0.00772227229275251
43,1.5,1.48545339405319,0.00161628954964588,0.00711167401844185
44,1.5,1.48690805464787,0.00145466059468125,0.00654597267606579
45,1.5,1.48821724918308,0.00130919453521305,0.00602229486198051
46,1.5,1.48939552426477,0.00117827508169177,0.00553789288395164
47,1.5,1.4904559718383,0.00106044757352275,0.00509014835290875
48,1.5,1.49141037465447,0.000954402816170319,0.00467657379923491
49,1.5,1.49226933718902,0.00085896253455342,0.00429481267276676
