ultra1,ultra2,ultra3,ultra4,ultra5,closest_obstacle
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
2000,904,2000,2000,2000,904
