ultra1,ultra2,ultra3,ultra4,ultra5,closest_obstacle
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-430
0,0,0,0,0,-
